"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;<span class=cloze>[...]</span></div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;<span class=cloze>18</span></div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;<span class=cloze>[...]</span>% in the past <span class=cloze>[...]</span> months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;<span class=cloze>15</span>% in the past <span class=cloze>3-6</span> months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;<span class=cloze>[...]</span> days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;<span class=cloze>5</span> days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of <span class=cloze>[...]</span>, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of <span class=cloze>ETOHXS</span>, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, <span class=cloze>[...]</span>,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, <span class=cloze>drug abuse</span>,&nbsp;IDDM, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;<span class=cloze>[...]</span>, concurrent chemotherapy, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;<span class=cloze>IDDM</span>, concurrent chemotherapy, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent <span class=cloze>[...]</span>, antacids, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent <span class=cloze>chemotherapy</span>, antacids, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, <span class=cloze>[...]</span>, diuretics</div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, <span class=cloze>antacids</span>, diuretics</div><br><br>
Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, <span class=cloze>[...]</span></div>	Patients who have two or more of the following are at high risk of refeeding syndrome:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;15% in the past 3-6 months</div><div>- Little to no nutritional intake for &gt;5 days</div><div>- Hx of ETOHXS, drug abuse,&nbsp;IDDM, concurrent chemotherapy, antacids, <span class=cloze>diuretics</span></div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what else do they need to carry with them?	A covering letter from the prescribing doctor.
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's <span class=cloze>[...]</span></div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, strengths and total amounts of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's <span class=cloze>name, address and date of birth</span></div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, strengths and total amounts of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of <span class=cloze>[...]</span> and <span class=cloze>[...]</span> travel</div><div>3. Names, forms, strengths and total amounts of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of <span class=cloze>outward</span> and <span class=cloze>return</span> travel</div><div>3. Names, forms, strengths and total amounts of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. <span class=cloze>[...]</span>, forms, strengths and total amounts of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. <span class=cloze>Names</span>, forms, strengths and total amounts of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, <span class=cloze>[...]</span>, strengths and total amounts of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, <span class=cloze>forms</span>, strengths and total amounts of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, <span class=cloze>[...]</span> and total amounts of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, <span class=cloze>strengths</span> and total amounts of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, strengths <span class=cloze>[...]</span> of the drugs being carried.</div>	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:<div><br /></div><div>1. Patient's name, address and date of birth</div><div>2. Destinations and dates of outward and return travel</div><div>3. Names, forms, strengths <span class=cloze>and total amounts</span> of the drugs being carried.</div><br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule <span class=cloze>[...]</span> drugs, a letter from the prescriber is advised, but not required.	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule <span class=cloze>5</span> drugs, a letter from the prescriber is advised, but not required.<br><br>
If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 5 drugs, a letter from the prescriber is <span class=cloze>[...]</span>, but not <span class=cloze>[...]</span>.	If a patient is leaving/entering the UK for &lt;3 months and carrying &lt;3 months supply of Schedule 5 drugs, a letter from the prescriber is <span class=cloze>advised</span>, but not <span class=cloze>required</span>.<br><br>
If a patient flying abroad needs to carry liquid medication &gt;100ml, can they do so?	Yes, but the patient may require prior approval from the airline to do so.&nbsp;<div><br /></div><div>It may also need to be inspected, X-Rayed and verified.</div>
